LOCATION,TIME,Value_x,Value_y
AUS,1971,223.592,71.6
AUS,1972,239.1784,72.0
AUS,1973,264.0303,72.1
AUS,1974,322.3286,71.9
AUS,1975,401.8512,72.7
AUS,1976,430.061,72.8
AUS,1977,472.8991,73.4
AUS,1978,510.7161,73.7
AUS,1979,554.7626,74.3
AUS,1980,615.7256,74.6
AUS,1981,697.3706,74.9
AUS,1982,731.9027,74.7
AUS,1983,773.4711,75.5
AUS,1984,817.2866,75.8
AUS,1985,881.2391,75.6
AUS,1986,941.1635,76.1
AUS,1987,981.6215,76.3
AUS,1988,1039.8854,76.3
AUS,1989,1091.3294,76.5
AUS,1990,1154.0445,77.0
AUS,1991,1229.3906,77.4
AUS,1992,1307.222,77.5
AUS,1993,1381.1135,78.0
AUS,1994,1470.8096,78.0
AUS,1995,1554.7982,77.9
AUS,1996,1645.0156,78.2
AUS,1997,1730.7444,78.5
AUS,1998,1858.2922,78.7
AUS,1999,1986.4928,79.0
AUS,2000,2156.808,79.3
AUS,2001,2271.4553,79.7
AUS,2002,2426.4793,80.0
AUS,2003,2546.2803,80.3
AUS,2004,2745.6316,80.6
AUS,2005,2842.1321,80.9
AUS,2006,3023.0978,81.1
AUS,2007,3196.2259999999997,81.4
AUS,2008,3310.1708,81.5
AUS,2009,3564.4049,81.6
AUS,2010,3607.3407,81.8
AUS,2011,3794.0874,82.0
AUS,2012,3807.6819,82.1
AUS,2013,4176.853,82.2
AUS,2014,4206.8516,82.4
AUT,1970,186.3145,70.0
AUT,1971,201.9619,70.2
AUT,1972,222.2858,70.6
AUT,1973,249.2017,71.1
AUT,1974,295.0659,71.1
AUT,1975,412.0627,71.2
AUT,1976,471.7179,71.7
AUT,1977,521.641,72.0
AUT,1978,579.8399,72.1
AUT,1979,660.0909,72.4
AUT,1980,742.5189,72.6
AUT,1981,693.6662,72.9
AUT,1982,747.8722,73.1
AUT,1983,779.4923,73.1
AUT,1984,814.0641,73.7
AUT,1985,879.5659,73.9
AUT,1986,933.7634,74.4
AUT,1987,1015.9254,74.9
AUT,1988,1083.2472,75.3
AUT,1989,1189.9067,75.4
AUT,1990,1507.933,75.7
AUT,1991,1608.9806,75.7
AUT,1992,1724.7343,75.9
AUT,1993,1874.6122,76.2
AUT,1994,2041.3374,76.5
AUT,1995,2120.4786,76.8
AUT,1996,2188.0253,77.0
AUT,1997,2298.8535,77.4
AUT,1998,2452.2438,77.8
AUT,1999,2587.061,78.0
AUT,2000,2726.4305,78.2
AUT,2001,2772.9361,78.7
AUT,2002,2942.5631,78.8
AUT,2003,3085.9336,78.7
AUT,2004,3260.8522,79.3
AUT,2005,3324.0795,79.4
AUT,2006,3567.6495,80.0
AUT,2007,3718.739,80.3
AUT,2008,3964.8495,80.5
AUT,2009,4119.7452,80.4
AUT,2010,4236.3164,80.7
AUT,2011,4362.3426,81.1
AUT,2012,4646.4365,81.0
AUT,2013,4806.3934,81.2
AUT,2014,4895.9992,81.6
BEL,1970,151.4503,71.1
BEL,1971,168.5058,71.2
BEL,1972,191.5558,71.5
BEL,1973,228.2962,71.7
BEL,1974,262.2699,72.1
BEL,1975,352.0285,72.1
BEL,1976,406.3051,72.2
BEL,1977,469.1313,72.9
BEL,1978,531.6262,72.8
BEL,1979,586.8149,73.3
BEL,1980,645.0063,73.3
BEL,1981,750.4773,73.7
BEL,1982,829.7761,74.0
BEL,1983,886.4823,74.0
BEL,1984,919.2787,74.5
BEL,1985,971.0915,74.6
BEL,1986,1033.5016,74.8
BEL,1987,1099.8816,75.5
BEL,1988,1188.2074,75.7
BEL,1989,1262.5005,75.7
BEL,1990,1354.4443,76.1
BEL,1991,1481.8642,76.3
BEL,1992,1569.6355,76.5
BEL,1993,1611.0269,76.5
BEL,1994,1648.9681,76.8
BEL,1995,1710.4518,77.0
BEL,1996,1804.5439,77.3
BEL,1997,1849.8923,77.5
BEL,1998,1920.7638,77.6
BEL,1999,2047.9187,77.7
